[Fe/H]|RAJ2000|DEJ2000|Dist|deg
---------------|---------------|------|-------------|-------------|-------
158.52344240000|+65.49837184000|-1.376|158.523442400|+65.498371840| 3.5206
157.35334060000|+64.30851753000|-1.652|157.353340600|+64.308517530| 1.8602
126.27631310000|+51.22414146000|-1.549|126.276313100|+51.224141460| 2.3611
125.58056640000|+50.65424740000|-1.695|125.580566400|+50.654247400| 1.2911
354.66399520000|+15.05379131000|-1.704|354.663995200|+15.053791310| 1.9810
156.93376450000|+65.95920785000|-1.691|156.933764500|+65.959207850| 3.1333
161.36644410000|+65.39701497000|-1.446|161.366444100|+65.397014970| 3.1043
177.21962620000|+05.72333447600|-1.079|177.219626200|+05.723334476| 2.8673
167.60006150000|+62.39871493000|-1.216|167.600061500|+62.398714930| 1.5166
165.74131350000|+60.71218194000|-1.485|165.741313500|+60.712181940| 1.4803
241.08474190000|+04.62831587400|-1.495|241.084741900|+04.628315874| 2.5212
169.04340080000|+61.00680215000|-1.632|169.043400800|+61.006802150| 2.9086
250.09648170000|+40.13780863000|-1.244|250.096481700|+40.137808630| 3.5825
237.51323800000|+50.14913781000|-1.715|237.513238000|+50.149137810| 2.6173
010.12157255000|+16.07116834000|-2.902|010.121572550|+16.071168340| 1.8666
112.34118240000|+35.16282365000|-1.557|112.341182400|+35.162823650| 0.9127
354.76538940000|+13.69980205000|-1.753|354.765389400|+13.699802050| 1.0637
228.89960940000|+52.92773438000|-1.683|228.899609400|+52.927734380| 2.7010
354.71893930000|+14.16270596000|-1.435|354.718939300|+14.162705960| 3.7474
356.58624320000|+14.53713274000|-1.366|356.586243200|+14.537132740| 3.9572
237.91206490000|+48.10379787000|-1.212|237.912064900|+48.103797870| 3.0358
215.09242330000|+62.93536424000|-0.840|215.092423300|+62.935364240| 2.7555
214.38237210000|+63.16718182000|-1.791|214.382372100|+63.167181820| 2.7537
241.73623600000|+50.16634308000|-0.060|241.736236000|+50.166343080| 2.9054
212.05782350000|+62.66170102000|-2.803|212.057823500|+62.661701020| 3.4667
239.19559620000|+51.19357333000|-1.422|239.195596200|+51.193573330| 2.8942
215.54731860000|+61.06100364000|-0.217|215.547318600|+61.061003640| 3.7423
172.52514310000|+01.26913154600|-1.559|172.525143100|+01.269131546| 2.1692
171.22812330000|+02.49598291500|-1.791|171.228123300|+02.495982915| 2.1204
171.44181600000|+02.59276093900|-1.269|171.441816000|+02.592760939| 3.5287
171.86266810000|+03.34761403100|-1.767|171.862668100|+03.347614031| 1.9441
026.37286950000|+00.37094355900|-1.806|026.372869500|+00.370943559| 3.3961
027.24440679000|+00.31428375400|-2.117|027.244406790|+00.314283754| 1.1503
168.44595870000|+04.25788585700|-1.311|168.445958700|+04.257885857| 3.0664
209.97084060000|+61.89412204000|-1.726|209.970840600|+61.894122040| 1.7895
209.65507350000|+63.46030903000|-1.321|209.655073500|+63.460309030| 3.0498
210.95285200000|+63.64658785000|-1.140|210.952852000|+63.646587850| 2.3678
116.61122260000|+29.19218311000|-1.471|116.611222600|+29.192183110| 1.9092
170.09358040000|+05.53247940000|-1.504|170.093580400|+05.532479400| 2.3513
210.86135680000|+62.25751821000|-1.288|210.861356800|+62.257518210| 2.5467
211.13356750000|+62.60548877000|-0.571|211.133567500|+62.605488770| 2.7022
115.86919010000|+27.79983307000|-1.183|115.869190100|+27.799833070| 1.1345
115.32592290000|+27.75442007000|-1.610|115.325922900|+27.754420070| 2.4791
115.47685380000|+27.87757143000|-2.453|115.476853800|+27.877571430| 1.8078
116.65549170000|+29.32828903000|-2.270|116.655491700|+29.328289030| 2.8350
166.18023670000|+55.76745207000|-2.345|166.180236700|+55.767452070| 2.9663
166.44878820000|+55.80776605000|-1.259|166.448788200|+55.807766050| 3.8759
147.18778390000|+03.38598264800|-2.385|147.187783900|+03.385982648| 1.4061
213.27735670000|+59.20591216000|-1.439|213.277356700|+59.205912160| 3.1071
214.03315100000|+59.54489712000|-1.841|214.033151000|+59.544897120| 2.0524
214.74368250000|+59.78164946000|-0.459|214.743682500|+59.781649460| 3.1303
214.15587470000|+58.87523741000|-2.182|214.155874700|+58.875237410| 1.5013
215.24742440000|+60.09259228000|-2.476|215.247424400|+60.092592280| 2.1135
209.32054160000|-01.26780100200|-2.142|209.320541600|-01.267801002| 1.8530
168.72706870000|+03.62395553800|-1.271|168.727068700|+03.623955538| 3.6356
116.58547990000|+28.71580221000|-0.981|116.585479900|+28.715802210| 1.0539
041.00887219000|-00.45559596900|-1.790|041.008872190|-00.455595969| 2.0530
041.68754250000|-00.43885743600|-1.274|041.687542500|-00.438857436| 2.0829
001.06909728500|+15.87360342000|-2.237|001.069097285|+15.873603420| 2.5928
166.70586260000|+55.52226029000|-1.247|166.705862600|+55.522260290| 2.4722
316.92899940000|+01.09158469500|-0.805|316.928999400|+01.091584695| 1.7527
117.48379680000|+27.14635781000|-2.151|117.483796800|+27.146357810| 3.4780
040.82082725000|-00.47257290700|-1.796|040.820827250|-00.472572907| 1.7030
042.47117418000|-00.60696257300|-1.739|042.471174180|-00.606962573| 2.5938
040.81826247000|-00.00107223900|-1.006|040.818262470|-00.001072239| 0.8460
042.43537624000|-00.09078743900|-0.791|042.435376240|-00.090787439| 1.6186
042.39359941000|-00.06072272900|-2.277|042.393599410|-00.060722729| 1.3221
118.43836510000|+28.41976209000|-1.341|118.438365100|+28.419762090| 1.7973
184.38275900000|+58.18972795000|-1.965|184.382759000|+58.189727950| 3.3948
042.78948467000|-00.20934288800|-0.573|042.789484670|-00.209342888| 2.6348
041.41368475000|-00.86486294900|-1.459|041.413684750|-00.864862949| 3.9818
355.22520430000|-00.09798466000|-0.598|355.225204300|-00.097984660| 1.4410
005.24549863300|+00.73996606000|-0.591|005.245498633|+00.739966060| 2.4529
005.61728728900|+01.06766441800|-0.389|005.617287289|+01.067664418| 2.2701
041.08412285000|-01.02432908100|-0.635|041.084122850|-01.024329081| 1.8337
042.98006185000|-00.92407760500|-1.322|042.980061850|-00.924077605| 3.6021
146.24025380000|+44.34740253000|-2.261|146.240253800|+44.347402530| 1.5542
146.55177330000|+44.91413587000|-1.386|146.551773300|+44.914135870| 3.9090
116.13888260000|+27.01169163000|-1.567|116.138882600|+27.011691630| 1.7702
041.67657410000|-01.12396876700|-1.867|041.676574100|-01.123968767| 0.9615
162.08516130000|+09.79174800000|-2.117|162.085161300|+09.791748000| 2.5510
159.14989970000|+48.98007205000|-1.440|159.149899700|+48.980072050| 1.3978
156.72860400000|+49.75501856000|-2.563|156.728604000|+49.755018560| 1.0681
189.89207340000|+54.54858743000|-1.684|189.892073400|+54.548587430| 1.9515
193.51663540000|+55.07609397000|-1.164|193.516635400|+55.076093970| 2.2113
191.74929920000|+55.44814539000|-1.681|191.749299200|+55.448145390| 2.2512
